unit_id,seed,status,total_area,usable_area,corridor_area,score,area_score,room_quality_score,circulation_score,layout_score,compliance_score,failures,warnings
A000,0,valid,70.0,69.99,0.01,0.9277,0.9999,0.9098,0.9143,0.92,0.84,,bedroom_main is not directly adjacent to living_room | bedroom_2 is not directly adjacent to living_room
A001,1,valid,70.0,69.99,0.01,0.9277,0.9999,0.9098,0.9143,0.92,0.84,,bedroom_main is not directly adjacent to living_room | bedroom_2 is not directly adjacent to living_room
A002,2,valid,70.0,69.99,0.01,0.9277,0.9999,0.9098,0.9143,0.92,0.84,,bedroom_main is not directly adjacent to living_room | bedroom_2 is not directly adjacent to living_room
A003,3,valid,70.0,69.99,0.01,0.9277,0.9999,0.9098,0.9143,0.92,0.84,,bedroom_main is not directly adjacent to living_room | bedroom_2 is not directly adjacent to living_room
A004,4,valid,70.0,69.99,0.01,0.9277,0.9999,0.9098,0.9143,0.92,0.84,,bedroom_main is not directly adjacent to living_room | bedroom_2 is not directly adjacent to living_room
