unit_id,seed,status,total_area,usable_area,corridor_area,score,area_score,room_quality_score,circulation_score,layout_score,compliance_score,failures,warnings
A000,0,exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,exception: not enough height for child rectangle,
A001,1,exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,exception: not enough height for child rectangle,
A002,2,exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,exception: not enough height for child rectangle,
A003,3,exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,exception: not enough height for child rectangle,
A004,4,exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,exception: not enough height for child rectangle,
